run,fileNum,bound status,ligand,receptor,lig_x,lig_y,lig_z,rec_x,rec_y,rec_z,formed_time,broken_time,lig_break_x,lig_break_y,lig_break_z,rec_break_x,rec_break_y,rec_break_z,delta
57,1,1,35,35,-143.703701,718.896561,29.843712,-119.568095,704.198425,0.0,5.2694314168,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06
59,1,1,116,55,20.975118,320.356063,35.226912,29.663183,339.66386600000004,0.0,26.052528925,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1e-05
60,1,1,132,91,267.57399399999997,-539.4588259999999,27.359051,253.591052,-512.1610820000001,0.0,18.880162868,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5e-05
60,2,1,116,7,324.159193,755.632694,37.644593,339.55704199999997,761.5490629999999,0.0,26.722214876,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1e-05
61,1,1,56,47,22.549801000000002,320.674961,28.601907,44.515971,340.388535,0.0,25.085765844,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4e-05
61,2,1,107,87,-789.123421,227.24083,38.868029,-776.0137950000001,229.814344,0.0,46.020992242,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3000000000000001e-05
61,3,1,59,65,-635.111774,-486.799929,31.380652,-651.578533,-507.61599800000005,0.0,49.018333757,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3e-05
62,1,1,125,64,-583.223039,356.819649,22.095553,-556.1889110000001,335.13660699999997,0.0,22.110366284,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05
62,2,1,96,81,-135.996275,-52.694351,35.710749,-144.553655,-71.152985,0.0,59.936885803,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9999999999999997e-05
63,1,1,40,11,852.57035,214.40886400000002,30.66275,879.938043,214.53169900000003,0.0,26.891068093,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06
66,1,1,139,23,-705.154013,4.287553,17.887846,-702.0161860000001,-32.582309,0.0,31.728373494,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8000000000000003e-05
66,2,1,120,63,627.240864,888.929935,36.674954,612.8151740000001,900.5941939999999,0.0,51.394438675,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8000000000000003e-05
68,1,1,7,63,-261.382917,-580.714098,30.858852000000002,-234.434379,-577.4402769999999,0.0,54.356395521,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-06
69,1,1,63,29,802.527368,128.444782,36.996345,820.252604,125.935123,0.0,15.433763438,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05
70,1,1,70,34,76.38476899999999,115.345441,22.190285,108.208925,101.77989000000001,0.0,13.035604303,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06
70,2,1,48,68,-823.7250690000001,-54.483424,40.365783,-828.969819,-60.167562,0.0,45.903983805,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05
71,1,1,24,31,641.793052,-673.7365179999999,37.293381,629.592299,-685.9657639999999,0.0,2.9024841980000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1e-05
72,1,1,112,73,-642.489088,768.506879,16.262660999999998,-607.8481019999999,753.515586,0.0,10.925925289,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2e-05
72,2,1,61,30,798.299863,-569.481552,24.543537,828.41719,-582.889541,0.0,27.529698542,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3e-05
72,3,1,57,41,3.8098089999999996,688.261299,25.257285,34.234052,699.470501,0.0,30.722963327,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4999999999999999e-05
73,1,1,106,27,698.896801,-324.681761,33.066269,714.96222,-343.059249,0.0,13.851365789,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5e-05
75,1,1,110,70,265.46092200000004,-820.301601,39.695417,256.70252999999997,-814.23735,0.0,26.742315568000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-06
75,2,1,7,46,-282.428447,470.43381500000004,22.64675,-273.102963,503.43945199999996,0.0,29.527283003,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05
77,1,1,68,71,-66.930389,-143.187934,35.238107,-65.509426,-164.29402,0.0,59.672047176999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06
79,1,1,39,87,335.84041,-622.687605,37.66982,352.260662,-623.441047,0.0,3.0406685263999997,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8000000000000003e-05
80,1,1,57,59,84.060614,839.1905810000001,14.303157999999998,50.901204,819.566994,0.0,20.946594477,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05
80,2,1,148,27,730.761091,330.385146,37.222813,713.885289,334.72993199999996,0.0,21.356191708,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8999999999999997e-05
80,3,1,125,52,-237.900905,-445.196528,20.481701,-270.646294,-459.24818600000003,0.0,52.926556381000005,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4e-06
81,1,1,108,36,837.643286,-320.190585,24.148966,804.993824,-313.86206400000003,0.0,48.108406902,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06
81,2,1,10,60,324.297389,-434.289908,38.690804,310.542913,-432.546043,0.0,53.540636083,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1e-05
82,1,1,88,30,-247.80340499999997,-210.76276000000001,27.705752,-225.076724,-190.635672,0.0,55.487223291999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06
82,2,1,125,14,-164.03381399999998,157.34231499999999,27.84968,-192.361639,146.799991,0.0,58.551840893000005,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2e-05
83,1,1,33,72,-667.8696610000001,654.0791469999999,36.848008,-685.335905,659.213767,0.0,0.81166348787,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4e-06
